system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.268141237486292,-3.2770698193835126,-3.2699137484056386,0.0017725109193467148,0.008928581897220678,0.0017725109193467148,0.008928581897220678
H2+H4,sto-3g,STO-3G,3,cross_product,9,6,-3.2755463564618736,-3.2770698193835126,-3.275546356461879,5.329070518200751e-15,0.0015234629216389628,5.329070518200751e-15,0.0015234629216389628
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.2753522154802717,-3.2770698193835126,-3.275546356461879,0.00019414098160730475,0.0017176039032409385,0.00019414098160730475,0.0017176039032409385
H2+H4,sto-3g,STO-3G,4,cross_product,16,8,-3.2767496823629045,-3.2770698193835126,-3.2767496823629036,-8.881784197001252e-16,0.0003201370206080689,8.881784197001252e-16,0.0003201370206080689
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.276586555879112,-3.2770698193835126,-3.2767496823629036,0.0001631264837915758,0.0004832635044005329,0.0001631264837915758,0.0004832635044005329
H2+H4,sto-3g,STO-3G,5,cross_product,25,10,-3.2769950191982806,-3.2770698193835126,-3.276995019198277,-3.552713678800501e-15,7.48001852319824e-05,3.552713678800501e-15,7.48001852319824e-05
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.2769157394913244,-3.2770698193835126,-3.276995019198277,7.927970695265074e-05,0.00015407989218818585,7.927970695265074e-05,0.00015407989218818585
H2+H4,sto-3g,STO-3G,6,cross_product,36,12,-3.2770573981421034,-3.2770698193835126,-3.2770573981420927,-1.0658141036401503e-14,1.2421241409210637e-05,1.0658141036401503e-14,1.2421241409210637e-05
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.277024384277053,-3.2770698193835126,-3.2770573981420927,3.301386503995474e-05,4.5435106459823515e-05,3.301386503995474e-05,4.5435106459823515e-05
H2+H4,sto-3g,STO-3G,7,cross_product,49,14,-3.277067202189377,-3.2770698193835126,-3.2770672021893525,-2.4424906541753444e-14,2.6171941356345485e-06,2.4424906541753444e-14,2.6171941356345485e-06
H2+H4,sto-3g,STO-3G,7,joint,7,7,-3.277058704377886,-3.2770698193835126,-3.2770672021893525,8.497811466501304e-06,1.1115005626560759e-05,8.497811466501304e-06,1.1115005626560759e-05
H2+H4,sto-3g,STO-3G,8,cross_product,64,16,-3.277069688787406,-3.2770698193835126,-3.277069688787309,-9.681144774731365e-14,1.3059610681764866e-07,9.681144774731365e-14,1.3059610681764866e-07
H2+H4,sto-3g,STO-3G,8,joint,8,8,-3.277065929255193,-3.2770698193835126,-3.277069688787309,3.759532115843456e-06,3.890128319472552e-06,3.759532115843456e-06,3.890128319472552e-06
H2+H4,sto-3g,STO-3G,9,cross_product,81,17,-3.2770698022506277,-3.2770698193835126,-3.2770696455219683,-1.5672865938398672e-07,1.7132884888582112e-08,1.5672865938398672e-07,1.7132884888582112e-08
H2+H4,sto-3g,STO-3G,9,joint,9,9,-3.277069044379539,-3.2770698193835126,-3.2770696455219683,6.01142429168533e-07,7.750039734411018e-07,6.01142429168533e-07,7.750039734411018e-07
H2+H4,sto-3g,STO-3G,10,cross_product,100,17,-3.277069794623486,-3.2770698193835126,-3.2770697947994534,1.7596724077861836e-10,2.4760026473558128e-08,1.7596724077861836e-10,2.4760026473558128e-08
H2+H4,sto-3g,STO-3G,10,joint,10,10,-3.2770697433783935,-3.2770698193835126,-3.2770697947994534,5.142105985456169e-08,7.60051190873412e-08,5.142105985456169e-08,7.60051190873412e-08
H2+H4,sto-3g,STO-3G,11,cross_product,121,19,-3.2770698184181235,-3.2770698193835126,-3.277069782666785,-3.575133833422228e-08,9.653891019922867e-10,3.575133833422228e-08,9.653891019922867e-10
H2+H4,sto-3g,STO-3G,11,joint,11,10,-3.2770696890397093,-3.2770698193835126,-3.277069782666785,9.36270758700175e-08,1.3034380330623208e-07,9.36270758700175e-08,1.3034380330623208e-07
H2+H4,sto-3g,STO-3G,12,cross_product,144,19,-3.2770698178828406,-3.2770698193835126,-3.2770698179397795,5.693889804092578e-11,1.5006720310850596e-09,5.693889804092578e-11,1.5006720310850596e-09
H2+H4,sto-3g,STO-3G,12,joint,12,11,-3.277069793219325,-3.2770698193835126,-3.2770698179397795,2.4720454572246808e-08,2.6164187705290942e-08,2.4720454572246808e-08,2.6164187705290942e-08
H2+H2,6-31g,6-31G,1,cross_product,1,1,-2.253467934233135,-2.303365464219782,-2.253467934233135,0.0,0.04989752998664709,0.0,0.04989752998664709
H2+H2,6-31g,6-31G,1,joint,1,1,-2.253467934233135,-2.303365464219782,-2.253467934233135,0.0,0.04989752998664709,0.0,0.04989752998664709
H2+H2,6-31g,6-31G,2,cross_product,4,4,-2.2963890277420385,-2.303365464219782,-2.2963890277420376,-8.881784197001252e-16,0.006976436477743597,8.881784197001252e-16,0.006976436477743597
H2+H2,6-31g,6-31G,2,joint,2,2,-2.2959845390545124,-2.303365464219782,-2.2963890277420376,0.0004044886875251841,0.0073809251652696695,0.0004044886875251841,0.0073809251652696695
H2+H2,6-31g,6-31G,3,cross_product,9,9,-2.3025329282238496,-2.303365464219782,-2.302532928223889,3.952393967665557e-14,0.0008325359959324707,3.952393967665557e-14,0.0008325359959324707
H2+H2,6-31g,6-31G,3,joint,3,3,-2.3019177439137364,-2.303365464219782,-2.302532928223889,0.0006151843101527277,0.0014477203060456745,0.0006151843101527277,0.0014477203060456745
H2+H2,6-31g,6-31G,4,cross_product,16,16,-2.30336325293439,-2.303365464219782,-2.3033632529357857,1.3957723865587468e-12,2.211285392128559e-06,1.3957723865587468e-12,2.211285392128559e-06
H2+H2,6-31g,6-31G,4,joint,4,4,-2.3028974584654955,-2.303365464219782,-2.3033632529357857,0.0004657944702901595,0.0004680057542865157,0.0004657944702901595,0.0004680057542865157
H2+H2,6-31g,6-31G,5,cross_product,25,20,-2.303365449800231,-2.303365464219782,-2.303365460964851,1.1164619895254191e-08,1.4419550886657362e-08,1.1164619895254191e-08,1.4419550886657362e-08
H2+H2,6-31g,6-31G,5,joint,5,5,-2.303307528539497,-2.303365464219782,-2.303365460964851,5.7932425354234596e-05,5.7935680285226e-05,5.7932425354234596e-05,5.7935680285226e-05
H2+H2,6-31g,6-31G,6,cross_product,36,22,-2.303365457435231,-2.303365464219782,-2.303365460301358,2.8661268913765525e-09,6.784551143113049e-09,2.8661268913765525e-09,6.784551143113049e-09
H2+H2,6-31g,6-31G,6,joint,6,6,-2.303362676887365,-2.303365464219782,-2.303365460301358,2.783413992624162e-06,2.7873324168758984e-06,2.783413992624162e-06,2.7873324168758984e-06
H2+H2,6-31g,6-31G,7,cross_product,49,26,-2.303365464195569,-2.303365464219782,-2.303365459334952,-4.860616797941475e-09,2.4213075988654964e-11,4.860616797941475e-09,2.4213075988654964e-11
H2+H2,6-31g,6-31G,7,joint,7,7,-2.303365168916638,-2.303365464219782,-2.303365459334952,2.904183142860006e-07,2.9530314415993075e-07,2.904183142860006e-07,2.9530314415993075e-07
H2+H2,6-31g,6-31G,8,cross_product,64,26,-2.303365464194019,-2.303365464219782,-2.303365464219779,2.5759838706562732e-11,2.5762947331031683e-11,2.5759838706562732e-11,2.5762947331031683e-11
H2+H2,6-31g,6-31G,8,joint,8,8,-2.303365456575523,-2.303365464219782,-2.303365464219779,7.644255894945218e-09,7.644259003569687e-09,7.644255894945218e-09,7.644259003569687e-09
H2+H4,6-31g,6-31G,1,cross_product,1,1,-3.273220584352658,-3.351233028637021,-3.273220584352658,0.0,0.07801244428436283,0.0,0.07801244428436283
H2+H4,6-31g,6-31G,1,joint,1,1,-3.273220584352658,-3.351233028637021,-3.273220584352658,0.0,0.07801244428436283,0.0,0.07801244428436283
H2+H4,6-31g,6-31G,2,cross_product,4,4,-3.3385097585513197,-3.351233028637021,-3.338509758551394,7.416289804496046e-14,0.012723270085701177,7.416289804496046e-14,0.012723270085701177
H2+H4,6-31g,6-31G,2,joint,2,2,-3.3375649278714636,-3.351233028637021,-3.338509758551394,0.0009448306799302308,0.013668100765557245,0.0009448306799302308,0.013668100765557245
H2+H4,6-31g,6-31G,3,cross_product,9,9,-3.347806376538069,-3.351233028637021,-3.347806376539034,9.65005853004186e-13,0.0034266520989518767,9.65005853004186e-13,0.0034266520989518767
H2+H4,6-31g,6-31G,3,joint,3,3,-3.3468320915314425,-3.351233028637021,-3.347806376539034,0.0009742850075915577,0.0044009371055784285,0.0009742850075915577,0.0044009371055784285
H2+H4,6-31g,6-31G,4,cross_product,16,15,-3.350006178739531,-3.351233028637021,-3.3500069412137887,7.624742575096377e-07,0.001226849897489668,7.624742575096377e-07,0.001226849897489668
H2+H4,6-31g,6-31G,4,joint,4,4,-3.349597510768973,-3.351233028637021,-3.3500069412137887,0.0004094304448156727,0.001635517868047831,0.0004094304448156727,0.001635517868047831
